Ref,Project name,Country,Date online,Decomission date,Status,Technology,Technology_details,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Announced Size,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,"IEA zero-carbon estimated normalized capacity
[Nm³ H₂/hour]",References,LOWE_CF
1436,"Get H2 Lingen, phase 3",DEU,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,300 MW,100.0,22222.222222222223,17.325333333333333,,22222.222222222223,"[314][945][1180][1212], Platts European Gas Daily 08-12-2021, Platts European Gas Daily 21-12-2021",0.55
1437,Wasserstoffpark Lingen,DEU,2035.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,1.0,,,1.0,,1.0,1.0,,,,,,,,1.8GW,1800.0,400000.00000000006,311.856,,400000.00000000006,"[314][945][1180], Platts European Gas Daily 08-12-2021",0.55
1449,NTPC green hydrogen mobiity project - Ladakh,IND,2023.0,,FID/Construction,ALK,,Grid+Renewables,Solar PV,H2,,,,,,1.0,,,,,,,,,0.8MW,0.8,173.91304347826087,0.1355895652173913,,173.91304347826087,[1195],0.7
1450,H2BE,BEL,2028.0,,Feasibility study,NG w CCUS,ATR+CCUS,,,H2,,,,,1.0,1.0,,,,,,,,,1 GW H2 - 1.8 Gt CO2,,320224.7191011236,249.66,1800000.0,225677.5969849473,[1580][1651],0.9
1458,Sasolburg green hydrogen project,ZAF,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,1.0,1.0,,1.0,1.0,,,,,,,,60MW,60.0,13333.333333333334,10.3952,,13333.333333333334,[1207] [1780],0.5
1469,"Shell China - Zhangjiakou, phase 2",CHN,2024.0,,FID/Construction,ALK,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,60MW,40.0,8695.652173913044,6.779478260869565,,8695.652173913044,[1216],0.4
1478,NFC Belfort (Phase 1),FRA,2023.0,,FID/Construction,ALK,,Grid,,H2,,,,,,1.0,,,,,,,,,"1 MW, 400 kg H2/d",1.0,217.3913043478261,0.16948695652173912,,217.3913043478261,[1223],0.57
1482,Lhyfe-Enerparc Luckau project,DEU,2023.0,,Feasibility study,ALK,,Dedicated renewable,Solar PV,H2,,,,,1.0,1.0,,,,,,,,,5MW,5.0,1086.9565217391305,0.8474347826086956,,1086.9565217391305,[1581],0.3
1491,Trzebinia refinery,POL,2021.0,,Operational,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,1.0,,,,,1.0,,,,,,,,,350 t H2/y,2.0201631522241033,448.92514493868964,0.35,,448.92514493868964,[1446][1452],0.57
1493,Pembroke power station,GBR,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,Offshore wind,H2,1.0,,,,,1.0,1.0,,,,,,,,110MW,110.0,24444.444444444445,19.05786666666667,,24444.444444444445,[1582],0.57
1499,Hy2gen Sauda project,NOR,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1.0,,,,1.0,,,,,,,,,300 MW,300.0,66666.66666666667,51.976,,66666.66666666667,[1243][1499],0.5
1500,Firlough project,IRL,2025.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,,,,,,0.0,[1245],0.4
1501,Alcázar de San Juan - pHYnix,ESP,2024.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,10 MW - 1.45 kt H2/y,10.0,2222.222222222222,1.7325333333333333,,2222.222222222222,[1246],0.5
1504,Blue Seal,DNK,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,50MW,50.0,11111.111111111111,8.662666666666667,,11111.111111111111,[1249],0.5
1531,"Atacama Hydrogen Hub, phase 1",CHL,2023.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,10MW,10.0,2222.222222222222,1.7325333333333333,,2222.222222222222,[1266],0.3
1532,"Atacama Hydrogen Hub, phase 2",CHL,2027.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,2000MW or 110kt H2/y production,2000.0,444444.4444444445,346.50666666666666,,444444.4444444445,[1266],0.3
1547,"Green Crane, Murcia (part of Green Crane Gigafactory)",ESP,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1.0,1.0,,,,,,,,,25 kt H2/y,144.2973680160074,32066.08178133498,25.0,,32066.08178133498,,0.57
1551,Origin Hunter Valley hydrogen hub,AUS,2026.0,,FID/Construction,Other Electrolysis,Unknown PtX,Grid,,H2,,1.0,,,,1.0,,,,,,,,,55MW,55.0,12222.222222222223,9.528933333333335,,12222.222222222223,[1275] [2134],0.57
1552,O&L group - CMB.TECH hydrogen hub,NAM,2023.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,4MW,4.0,888.8888888888889,0.6930133333333334,,888.8888888888889,[1276],0.3
1567,Freeport East Hydrogen Hub,GBR,2030.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1.0,1.0,,1.0,,,,,,,1GW,,,,,0.0,[1283],0.57
1610,Air Products Arizona,USA,2023.0,,FID/Construction,ALK,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,10 t H2/d production,37.78172021814837,8213.417438727907,6.403508771929825,,8213.417438727907,[1300],0.57
1611,"H2UDF, phase I",ESP,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,1.0,,,,,,,2.5 MW,2.5,555.5555555555555,0.4331333333333333,,555.5555555555555,[1303] [1682],0.57
1613,"H2UDF, phase II",ESP,2024.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,1.0,,,,,,,10 MW,7.5,1666.6666666666667,1.2994,,1666.6666666666667,[1303],0.57
1615,Inspira Madrid,ESP,2024.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,10 MW,10.0,2222.222222222222,1.7325333333333333,,2222.222222222222,[1307],0.3
1622,"Ruse project
(part of Green Hydrogen @ Blue Danube IPCEI)",BGR,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,,,,,,0.0,[1312] [1313] [1314],0.3
1623,H2V WN Warndt Naborien (Phase 1),FRA,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,1.0,1.0,,,,,,,,,100 MW,100.0,22222.222222222223,17.325333333333333,,22222.222222222223,[1316] [1317],0.57
1624,"H2V WN Warndt Naborien (Phase 2, final)",FRA,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,1.0,1.0,,,,,,,,,400 MW,300.0,66666.66666666667,51.976,,66666.66666666667,[1316] [1317],0.57
1625,H2V Vigneux (Phase 1),FRA,2028.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,100 MW,100.0,22222.222222222223,17.325333333333333,,22222.222222222223,[1318],0.57
1626,"H2V Vigneux (Phase 3, final)",FRA,2030.0,,Concept,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,,,,,,,,,300MW,100.0,22222.222222222223,17.325333333333333,,22222.222222222223,[1318],0.57
1628,CorrHyd'Occ (Occitanie H2 Corridor),FRA,2024.0,,Feasibility study,ALK,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,45 MW,45.0,9782.608695652174,7.626913043478261,,9782.608695652174,[1320],0.57
1629,Val d'Hygo (Occitanie H2 Corridor),FRA,2024.0,,FID/Construction,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,5 MW,5.0,1111.111111111111,0.8662666666666666,,1111.111111111111,[1320],0.57
1632,"Get H2 Lingen, phase 1",DEU,2024.0,,Feasibility study,PEM,,Dedicated renewable,Offshore wind,H2,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,100 MW,86.0,16538.46153846154,12.894046153846155,,16538.46153846154,[1615],0.55
1633,"Green Hydrogen for the City of Cockburn, phase 1",AUS,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,1.25 MW,1.25,277.77777777777777,0.21656666666666666,,277.77777777777777,[1334] [1335],0.3
1634,"Green Hydrogen for the City of Cockburn, phase 2",AUS,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,,0.0,,,,0.0,[1334] [1335],0.3
1636,Green Shepherd,AUS,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,10 MW,10.0,2222.222222222222,1.7325333333333333,,2222.222222222222,[1336],0.57
1637,H2Kwinana,AUS,,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,1.0,1.0,,,,,1.0,1.0,,,75 MW,75.0,16666.666666666668,12.994,,16666.666666666668,[1337],0.57
1646,HydrGEN I,DEU,2024.0,,Concept,SOEC,Unknown PtX,Dedicated renewable,Offshore wind,Ammonia,,1.0,,,,1.0,,,,,,,,,100 MW,100.0,26315.78947368421,20.516842105263155,,26315.78947368421,[1346],0.55
1651,GreenMotionSteel,DEU,2024.0,,Concept,Other Electrolysis,Unknown PtX,Grid,,H2,,,,1.0,,1.0,,,,,,,,,120 MW,120.0,26666.666666666668,20.7904,,26666.666666666668,[1352] [1642],0.57
1652,CHESS,DEU,2026.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,1.0,1.0,,1.0,,,,,,,30 MW,30.0,6666.666666666667,5.1976,,6666.666666666667,[1353],0.4
1656,H2Agrar,DEU,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,2 MW,2.0,444.44444444444446,0.3465066666666667,,444.44444444444446,[1357],0.4
1660,HEAL - Hydrogen-based Energy Systems for Arctic Logistics,SWE,2024.0,,DEMO,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,1.0,,,,,,,,,,,,,,0.0,[1359],0.55
1661,Vätgas Ljungby,SWE,2023.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,2 MW,2.0,444.44444444444446,0.3465066666666667,,444.44444444444446,[1360] [1686],0.5
1663,BotnialänkenH2,SWE,2027.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,1.0,1.0,,,,,,1.0,,,100 MW,100.0,22222.222222222223,17.325333333333333,,22222.222222222223,[1361],0.4
1664,Rabbalshede Krafts,SWE,2025.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,1.0,,,,,50 MW,50.0,11111.111111111111,8.662666666666667,,11111.111111111111,[1362],0.5
1666,Power2AX,FIN,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,1.0,1.0,1.0,,,1.0,,,,,225 t H2/y,1.2986763121440665,288.5947360320148,0.225,,288.5947360320148,[1364],0.4
1670,"H2UDF, phase III",ESP,2026.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,1.0,,,,,,,25 MW,15.0,3333.3333333333335,2.5988,,3333.3333333333335,[1303],0.57
1671,Fronius Solhub - SAN Group Herzogenburg,AUT,2022.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,1.0,1.0,,,,,,,,,0.7 MW or 100 kg H2/d ,0.7,155.55555555555557,0.12127733333333335,,155.55555555555557,[1366] [2074],0.3
1683,"Ain Sokhna plant, Suez Canal Economic Zone (SCZone), phase 1",EGY,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,Ammonia,,1.0,,,,1.0,,,,,,,,,140kt NH3/y using 25kt H2/y production,253.1532772210656,56256.28382690347,43.85964912280702,,56256.28382690347,[1374],0.57
1684,"Ain Sokhna plant, Suez Canal Economic Zone (SCZone), phase 2",EGY,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,Ammonia,,1.0,,,,1.0,,,,,,,,,350kt NH3/y production,379.7299158315985,84384.42574035522,65.78947368421053,,84384.42574035522,[1374],0.57
1687,BLUE MED,GRC,2024.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1.0,1.0,,1.0,,,,,,,10 MW,10.0,2222.222222222222,1.7325333333333333,,2222.222222222222,[1376],0.5
1688,Zero Emission Mobility Corridor,SVN,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,34 Mw,34.0,7555.555555555557,5.890613333333333,,7555.555555555557,[1377],0.5
1689,EHYTRANSP - TS Laevad & H2,EST,2024.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,5 MW,5.0,1111.111111111111,0.8662666666666666,,1111.111111111111,[1378],0.5
1690, HYEELIWTS - terminal of Muuga,EST,2025.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,,,,,,0.0,[1378],0.5
1711,Flavian superhybrid,AUS,2028.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,1.0,,,,,,,,300 MW - 24 kt H2/y,300.0,66666.66666666667,51.976,,66666.66666666667,[1384],0.5
1716,"Masdar Hassan Allam green hydrogen, phase 1",EGY,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,MeOH,,,1.0,,,1.0,,,,,,,,,100 kt MeOH/y production,193.74022828349928,43053.384062999845,33.5661403508772,,43053.384062999845,[1389],0.57
1728,Ferrolterra plant,ESP,,,Feasibility study,PEM,,Dedicated renewable,Offshore wind,H2,,,,,,1.0,,,,,,,,,30MW,30.0,5769.2307692307695,4.497923076923077,,5769.2307692307695,[598][1398],0.55
1729,Ferrolterra plant,ESP,,,Feasibility study,PEM,,Dedicated renewable,Offshore wind,H2,,,,,,1.0,,,,,,,,,50MW,50.0,9615.384615384615,7.496538461538461,,9615.384615384615,[598][1398],0.55
1731,"Hydrogen Eagle (Spolana), phase 2",CZE,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,36 MW,30.0,6666.666666666667,5.1976,,6666.666666666667,[951],0.5
1732,"Hyways for future, 1st hub",DEU,2024.0,,FID/Construction,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,2 MW,2.0,384.61538461538464,0.2998615384615385,,384.61538461538464,Argus newsletter 01/06/2022,0.4
1735,"H2 Emden Electrolyzer, phase 1",DEU,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,10 MW,10.0,2222.222222222222,1.7325333333333333,,2222.222222222222,[1886],0.5
1736,Referenzkraftwerk Lausitz,DEU,2026.0,,FID/Construction,PEM,,Dedicated renewable,Unknown,H2,,,,,1.0,1.0,,,,,,,,,1000 t/y,7.0,1346.1538461538462,1.0495153846153844,,1346.1538461538462,[1404],0.5
1737,Wenger Engineering Bremerhaven,DEU,,,Feasibility study,Other Electrolysis,ALK+PEM,Dedicated renewable,Onshore wind,H2,,,,,1.0,1.0,,,,,,,,,1.3 MW,1.3,288.8888888888889,0.22522933333333334,,288.8888888888889,[1405],0.4
1740,KEME Energy Sines,PRT,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1.0,1.0,,,,,,,,,2.52MW,2.52,560.0,0.43659839999999994,,560.0,[1408],0.5
1741,Hyundai Heavy Industries - HHI East Sea - Phase I,KOR,2030.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,1.0,,,,,,,,,100 MW,100.0,22222.222222222223,17.325333333333333,,22222.222222222223,[1409],0.55
1742,Hyundai Heavy Industries - HHI East Sea- Phase II,KOR,2025.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,1.0,,,,,,,,,1200 MW,1200.0,266666.6666666667,207.904,,266666.6666666667,[1409],0.55
1748,GH2 Ambès (Phase 1),FRA,2025.0,,Concept,ALK,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,1.0,,,100 MW,100.0,21739.130434782608,16.94869565217391,,21739.130434782608,[1416],0.3
1749,"GH2 Ambès (Phase 2, final)",FRA,2027.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,1.0,,,300 MW,200.0,44444.444444444445,34.650666666666666,,44444.444444444445,[1415],0.57
1752,Dijon Métropole Smart EnergHy (DMSE) - Station 1,FRA,2023.0,,FID/Construction,ALK,,Grid,,H2,,,,,,1.0,,,,,,,,,1 MW,1.0,217.3913043478261,0.16948695652173912,,217.3913043478261,[1418] [1419] [2005],0.57
1753,H-Awel,GBR,2024.0,,Other/Unknown,PEM,,Dedicated renewable,Onshore wind,H2,,,,1.0,,1.0,,,,,,,,,50 MW,50.0,9615.384615384615,7.496538461538461,,9615.384615384615,[1420],0.4
1754,Mayflower Hydrogen project,GBR,2025.0,,Feasibility study,PEM,,Other/Unknown,,H2,,,,,,1.0,,,,,,1.0,,,20 MW,20.0,3846.153846153846,2.9986153846153845,,3846.153846153846,[1421],0.57
1756,"Tarragona Green Chenical complex, phase 1",ESP,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1.0,1.0,,,,,,,,,5 MW,5.0,1111.111111111111,0.8662666666666666,,1111.111111111111,[1423],0.57
1757,"Tarragona Green Chenical complex, phase 2",ESP,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1.0,1.0,,,,,,,,,50 MW,45.0,10000.0,7.7964,,10000.0,[1423],0.57
1758,"Tarragona Green Chenical complex, phase 3",ESP,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1.0,1.0,,,,,,,,,70 MW,20.0,4444.444444444444,3.4650666666666665,,4444.444444444444,[1423],0.57
1765,"HH2E - Met Northeast Germany, phase 1",DEU,2025.0,,Feasibility study,ALK,,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,100 MW,100.0,21739.130434782608,16.94869565217391,,21739.130434782608,[1426],0.5
1766,"HH2E - Met Northeast Germany, phase 2",DEU,2030.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,1 GW,1000.0,222222.22222222225,173.25333333333333,,222222.22222222225,[1426],0.5
1768,Porte de St Cloud HRS station,FRA,2023.0,,Operational,PEM,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,2.5MW,2.5,480.7692307692308,0.37482692307692306,,480.7692307692308,[1429],0.57
1796,Chicheng Wind-Hydrogen-Storage Energy Integration Demonstration,CHN,2023.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,2000 Nm3/h,9.0,2000.0,1.55928,,2000.0,[1632],0.4
1811,"Tees Green Hydrogen, phase 1",GBR,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,1.0,1.0,1.0,,,,,,,,,35-50MW,42.5,9444.444444444445,7.363266666666667,,9444.444444444445,[1444],0.55
1812,"Tees Green Hydrogen, phase 2",GBR,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,1.0,1.0,1.0,,,,,,,,,500MW,457.5,101666.66666666667,79.2634,,101666.66666666667,[1444],0.55
1819,Viva Energy HRS,AUS,2023.0,,FID/Construction,PEM,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,1t H2/d,2.434456928838951,468.16479400749057,0.365,,468.16479400749057,[1454],0.57
1824,ScottishPower - Felixtowe Port,GBR,2025.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,100 MW,100.0,22222.222222222223,17.325333333333333,,22222.222222222223,[1457],0.5
1831,"Hydrogen City, phase 1",USA,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,1.0,,,,1.0,1.0,,,,,1.0,,,2GW,2000.0,444444.4444444445,346.50666666666666,,444444.4444444445,[1464],0.5
1832,"Hydrogen City, phase 2",USA,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,1.0,,,,1.0,1.0,,,,,1.0,,,3 Mt H2/y,15315.722641219023,3403493.920270894,2653.5,,3403493.920270894,[1464],0.5
1839,CYR – Australia - NPA RENEWSATBLE,AUS,2026.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,1.0,,,,,,,,,,,,,0.0,[1474],0.5
1840,CYR – Australia - Torres Strait Renewstable RENEWSATBLE,AUS,2026.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,1.0,,,,,,,,,,,,,0.0,[1474],0.5
1845,WAviatER,NLD,2023.0,,DEMO,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,,0.0,,,,0.0,[1488],0.5
1852,MoU Ieasa and Fraunhofer Institute,ARG,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,1.0,1.0,,,,,,,,,,0.0,,,,0.0,[1486],0.55
1855,TAQA & Abu Dhabi Ports,ARE,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,Ammonia,,1.0,,,,1.0,,,,,,,,,100kt H2/y capacity,577.1894720640296,128264.32712533991,100.0,,128264.32712533991,[1488],0.3
1856,Carlton Power hydrogen hub,GBR,2025.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,1.0,,,,,,,,35MW,35.0,7777.777777777778,6.063866666666667,,7777.777777777778,[1489],0.5
1864,Aeropuerto de Santiago,CHL,2025.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,,,,,,0.0,[1497],0.3
1869,HTEC Burnaby plant,CAN,2023.0,,FID/Construction,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,,,,,,,,,1t H2/d,2.1067415730337076,468.1647940074906,0.365,,468.1647940074906,[1501],0.57
1870,Lion Energy HRS,AUS,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,,,,,,0.0,[1502],0.57
1871,"Norwegian Hydrogen, Hellesylt Hydrogen Hub 1st project",NOR,2023.0,,FID/Construction,PEM,,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,4.5MW,4.5,865.3846153846155,0.6746884615384616,,865.3846153846155,[1503],0.5
1873,RIC Energy Valladolid -phase 1,ESP,2024.0,,FID/Construction,PEM,,Dedicated renewable,Solar PV,H2,,,,,1.0,1.0,,1.0,,,,,,,5MW,5.0,961.5384615384615,0.7496538461538461,,961.5384615384615,[1505] [1874],0.3
1874,Ansasol - Castilla y León,ESP,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,440 MW,440.0,97777.77777777778,76.23146666666668,,97777.77777777778,[1506],0.3
1888,Sunrhyse,FRA,2025.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,1.0,,,,,,,30MW,30.0,6666.666666666667,5.1976,,6666.666666666667,[1516],0.3
1893,HIF Asia Pacific,AUS,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Synfuels,,,,,,1.0,,,,,,1.0,,,250MW,250.0,55555.55555555556,43.31333333333333,,55555.55555555556,[1518],0.5
1896,Kogas plant in Haengwon ,KOR,,,Feasibility study,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,1MW,1.0,192.30769230769232,0.14993076923076926,,192.30769230769232,[1521],0.4
1898,Niagara Hydrogen Centre (NHC),CAN,2024.0,,FID/Construction,PEM,,Dedicated renewable,Hydropower,H2,,,,,1.0,1.0,1.0,,,,,,,,20MW,20.0,3846.153846153846,2.9986153846153845,,3846.153846153846,[1523][1588] [1704],0.8
1899,E-methanol plant in Singapore,SGP,2024.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,MeOH,,,,,,1.0,,,,,,,,,50kt MeOH/y production,110.43193012159458,24540.428915909906,19.1327,,24540.428915909906,[1524],0.5
1905,Maersk SCZONE,EGY,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,480kt H2/y production,5541.018931814684,1231337.5404032632,960.0,,1231337.5404032632,[1530],0.5
1916,First Hydrogen - Liverpool,GBR,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,20-40 MW,30.0,6666.666666666667,5.1976,,6666.666666666667,[1540],0.57
1917,First Hydrogen - Manchester,GBR,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,40 MW,40.0,8888.888888888889,6.930133333333333,,8888.888888888889,[1540] [1541],0.57
1918,First Hydrogen - London,GBR,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,20-40 MW,30.0,6666.666666666667,5.1976,,6666.666666666667,[1540],0.57
1919,First Hydrogen - Thames Estuary,GBR,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,40 MW,40.0,8888.888888888889,6.930133333333333,,8888.888888888889,[1540] [1541],0.57
1926,Inverness hydrogen hub,GBR,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,20 MW,20.0,4444.444444444444,3.4650666666666665,,4444.444444444444,[1546],0.57
1931,Energy Hub at MIRA Technology Park.,GBR,2023.0,,Operational,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,1MW,1.0,222.22222222222223,0.17325333333333334,,222.22222222222223,[1550],0.57
1937,Estación Andes,COL,2022.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,4 kg H2/d,0.00842696629213483,1.8726591760299622,0.00146,,1.8726591760299622,[1624] [1625],0.5
