Ref,Project name,Country,Date online,Decomission date,Status,Technology,Technology_details,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Announced Size,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,"IEA zero-carbon estimated normalized capacity
[Nm³ H₂/hour]",References,LOWE_CF
1099,Liberty North (Newcastle) ,AUS,,,Concept,Other,Methane pyrolysis,,,H2,,,,,,1.0,,,,,,,,,,,,,,0.0,[906],0.9
1102,ZEHUS,ITA,2024.0,,Feasibility study,ALK,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,4MW,4.0,869.5652173913044,0.6779478260869565,,869.5652173913044,,0.4
1103,FUTURA,ITA,2024.0,,Feasibility study,ALK,,Dedicated renewable,Hydropower,H2,,,,,,1.0,,,,,,,,,2MW,2.0,434.7826086956522,0.33897391304347824,,434.7826086956522,,0.8
1107,La Spezia Green Hydrogen,ITA,2024.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,2MW,2.0,444.44444444444446,0.3465066666666667,,444.44444444444446,,0.3
1114,Energiepark Eemshaven West (phase I),NLD,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,10MW,10.0,2222.222222222222,1.7325333333333333,,2222.222222222222,[920] [1662],0.5
1115,Energiepark Eemshaven West (phase II),NLD,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,100MW,100.0,22222.222222222223,17.325333333333333,,22222.222222222223,[920] [1662],0.5
1116,ELYgator,NLD,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1.0,1.0,,,,,,,,,200MW,200.0,44444.444444444445,34.650666666666666,,44444.444444444445,[920] [1437] [1662],0.5
1127,EI-H2 - Aghada (phase 1),IRL,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,1.0,,,,1.0,1.0,,,,,,,,,50MW,50.0,11111.111111111111,8.662666666666667,,11111.111111111111,[925][981],0.57
1130,"HySynergy, phase 3",DNK,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,1.0,,,,,1.0,,,,,,,,,1000W,700.0,155555.55555555556,121.27733333333335,,155555.55555555556,[288] [331],0.5
1134,Green H2 New Zealand - Taranaki,NZL,2024.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Various,,1.0,,,,1.0,,,,,,,,,2t H2/d,4.213483146067415,936.3295880149813,0.73,,936.3295880149813,[932],0.5
1141,SoHyCal,USA,2023.0,,FID/Construction,PEM,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,7.5MW,7.5,1442.3076923076924,1.1244807692307692,,1442.3076923076924,[939][940],0.3
1142,Bee’ah waste-to-hydrogen,ARE,,,Concept,Biomass,Waste gasification,,,H2,,,,,,1.0,,,,,,,,,,,,,,0.0,[941],0.9
1145,Sirea - Castres site,FRA,2021.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,0.43MW,0.43,95.55555555555556,0.07449893333333332,,95.55555555555556,[943],0.3
1160,Hydrogen Lab Gorlitz,DEU,2023.0,,FID/Construction,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,10MW,10.0,2222.222222222222,1.7325333333333333,,2222.222222222222,[948][949][950],0.57
1161,Hydrogen Eagle (various hubs),POL,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,1.0,,,,,,,,,100MW,100.0,22222.222222222223,17.325333333333333,,22222.222222222223,[951],0.55
1162,Hydrogen Eagle (various hubs),POL,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,10MW,10.0,2222.222222222222,1.7325333333333333,,2222.222222222222,[951],0.4
1163,Hydrogen Eagle (various hubs),POL,2030.0,,Feasibility study,Biomass,Waste gasification,,,H2,,,,,,1.0,,,,,,,,,15kt H2/y,,19239.649068800987,15.0,,19239.649068800987,[951],0.9
1164,Hydrogen Eagle (Litvínov),CZE,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,26MW,26.0,5777.777777777778,4.504586666666667,,5777.777777777778,[951],0.4
1165,Hydrogen Eagle (Spolana),CZE,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,18MW,18.0,4000.0000000000005,3.11856,,4000.0000000000005,[951],0.4
1166,"Hydrogen Eagle (Spolana), phase 1",CZE,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,6MW,6.0,1333.3333333333335,1.03952,,1333.3333333333335,[951],0.5
1167,Hydrogen Eagle (various hubs),SVK,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,60MW,60.0,13333.333333333334,10.3952,,13333.333333333334,[951],0.4
1171,Hoasis (TCP Gecomp),CHL,2024.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,Ammonia,,1.0,,,,1.0,,,,,,,,,2100MW or 102 kt H2/y production,2100.0,466666.6666666667,363.832,,466666.6666666667,[959],0.3
1173,HValleSur,CHL,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,5MW,5.0,1111.111111111111,0.8662666666666666,,1111.111111111111,[961],0.3
1174,METH2 Atacama,CHL,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,Others/Various,MeOH,,,1.0,,1.0,1.0,,,,,,,,,300 MW,300.0,66666.66666666667,51.976,,66666.66666666667,,0.57
1175,Villa Lisa ,PRY,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,200kgH2/day,0.4213483146067415,93.63295880149812,0.073,,93.63295880149812,[962][963][964],0.57
1176,Ciudad del Este ,PRY,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,,,,,,0.0,[963],0.57
1177,Encarnacion ,PRY,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,,,,,,0.0,[963],0.57
1181,Dawson Mine,AUS,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,10MW,10.0,2222.222222222222,1.7325333333333333,,2222.222222222222,[967],0.3
1182,"Camden County (GA), green power plant",USA,2023.0,,FID/Construction,PEM,,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,15 t H2/d production,73.03370786516854,14044.943820224718,10.95,,14044.943820224718,[971],0.5
1192,EI-H2 - Aghada (phase 2),IRL,2028.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,1.0,,,,1.0,1.0,,,,,,,,,2.7GW,2650.0,588888.8888888889,459.1213333333333,,588888.8888888889,[981],0.55
1200,Algeciras Bay,ESP,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1.0,1.0,1.0,,,,,,,,237MW,237.0,52666.66666666667,41.061040000000006,,52666.66666666667,[988][991],0.5
1202,GREEN H2 Langosteira,ESP,2024.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,6 MW,6.0,1333.3333333333335,1.03952,,1333.3333333333335,[992],0.5
1218,Veolia wastewater sludge plant,FRA,2021.0,,Operational,Biomass,Waste gasification,,,H2,,,,,,1.0,,,,,,,,,,,,,,0.0,[999],0.9
1237,Aukra CCS,NOR,2030.0,,Feasibility study,NG w CCUS,Unknown technology,,,H2,,,,,1.0,1.0,,,,,,,,,200-1200 t H2/d,,327715.3558052434,255.49999999999997,,0.0,[1018] [1705],0.9
1239,APEX-Plug Power H2 plamt,USA,,,Feasibility study,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,30 t H2/d production,182.58426966292132,35112.35955056179,27.374999999999996,,35112.35955056179,[1019],0.4
1247,"Frontier Energy, H2@Scale - gasification",USA,2020.0,2023.0,DEMO,Biomass,Various,,,H2,,,,,,1.0,1.0,,,,,,,,75kg H2/d,,35.1123595505618,0.027375,,35.1123595505618,[636][637][1021],0.9
1256,Bundaberg Hydrogen Hub,AUS,2028.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,80MW,80.0,17777.777777777777,13.860266666666666,,17777.777777777777,[1031],0.3
1258,Christmas Creek Renewable Hydrogen Mobility Project,AUS,2023.0,,FID/Construction,PEM,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,0.7MW,0.7,134.6153846153846,0.10495153846153846,,134.6153846153846,[1036],0.3
1261,Melbourne Hydrogen Hub,AUS,,,Feasibility study,PEM,,Grid,,H2,,,,,,1.0,,1.0,,,,,,,10MW,10.0,1923.076923076923,1.4993076923076922,,1923.076923076923,[1041],0.57
1263,Swinburne University of Technology Victorian Hydrogen Hub – CSIRO Hydrogen Refuelling Station,AUS,2023.0,,FID/Construction,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,,,,,,,,,20 kg H2/d,0.042134831460674156,9.363295880149813,0.0073,,9.363295880149813,[1043] [1639],0.57
1265,"Konin Power Plant, phase 2 - ZE PAK",POL,2024.0,,FID/Construction,PEM,,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,5MW,2.5,480.7692307692308,0.37482692307692306,,480.7692307692308,"[846], Platts European Gas Daily 23-07-2021, [1635]",0.5
1266,"Konin Power Plant, phase 3",POL,2030.0,,Feasibility study,PEM,,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,50MW,45.0,8653.846153846154,6.746884615384616,,8653.846153846154,"[846], Platts European Gas Daily 23-07-2021, [1635]",0.5
1270,"Green Crane - La Robla, Phase 2",ESP,2026.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,1.0,1.0,,,,,,,,,280MW,220.0,48888.88888888889,38.11573333333334,,48888.88888888889,"[647][648][697], Platts European Gas Daily 29-07-2021",0.3
1272,Freienbach plant,CHE,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,,,,,,,,,10MW,10.0,2222.222222222222,1.7325333333333333,,2222.222222222222,[1559],0.57
1273,"Trailblazer - Siemens-Air Liquide Oberhausen, Phase 1",DEU,2023.0,,FID/Construction,PEM,,Dedicated renewable,Unknown,H2,,,,1.0,1.0,1.0,,,,,,,,,20MW,20.0,3846.153846153846,2.9986153846153845,,3846.153846153846,[1560],0.5
1274,"Trailblazer - Siemens-Air Liquide Oberhausen, Phase 2",DEU,2024.0,,FID/Construction,PEM,,Dedicated renewable,Unknown,H2,,,,1.0,1.0,1.0,,,,,,,,,30MW,10.0,1923.076923076923,1.4993076923076922,,1923.076923076923,[1560],0.5
1275,Trafford Low Carbon Energy Park - phase 1,GBR,2025.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,20MW,20.0,4444.444444444444,3.4650666666666665,,4444.444444444444,[1561][1562],0.5
1276,Hidrógeno Verde Bahía Quintero,CHL,2025.0,,Feasibility study,ALK,,Grid,,H2,,,,,1.0,1.0,,1.0,,,,,,,10MW,10.0,2173.913043478261,1.6948695652173913,,2173.913043478261,[1563],0.57
1280,Finnmark green NH3,NOR,,,Concept,Other,Electrolysis + Biomass/Biomethane,Dedicated renewable,Unknown,Ammonia,,1.0,,,,1.0,,,,,,,,,,,,,,0.0,[1567],0.9
1282,Hydrogen Generation Unit  - H2V Las Tortolas,CHL,2021.0,,Operational,PEM,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,2kg H2/d,0.0048689138576779025,0.9363295880149812,0.00073,,0.9363295880149812,[1048[]1049],0.3
1285,Hokkaido green hydrogen plant,JPN,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,1.0,1.0,1.0,1.0,,,,,,,,550 t H2/y,3.1745420963521624,705.4537991893695,0.55,,705.4537991893695,[1052],0.55
1289,Raven - Republic Services H2 from waste plant,USA,2024.0,,FID/Construction,Other,Waste gasification CCUS,,,H2,,,,,,1.0,,,,,,,,,2kt H2/y,,2565.286542506798,2.0,,2565.286542506798,[1056] [1638],0.9
